"Term","Section","Former","Title","Credits","Instructional Method","Location","Start Date","End Date","Meeting Days","Start Time","End Time","Instructor(s)","Seats Remaining","GERS","Purpose","Prequisites","Notes","Sort","Courses ID"
"Spring 2017 - Day","ACC-111-01","ACC-23","Financial Accounting Prncpls", 4.0,"LEC","HIP 202","01/09/17","04/25/17","MWF","10:30AM","11:20AM","Dr. Marion E. McHugh","FULL","","undergraduate day","","","1","2621"
"Spring 2017 - Day","ACC-111-01","ACC-23","Financial Accounting Prncpls", 4.0,"EXAM","HIP 202","05/03/17","05/03/17","W","08:30AM","11:00AM","","FULL","","undergraduate day","","","2","2621"
"Spring 2017 - Day","ACC-111-02","ACC-23","Financial Accounting Prncpls", 4.0,"LEC","HIP 202","01/09/17","04/25/17","MWF","11:30AM","12:20PM","Dr. Marion E. McHugh","FULL","","undergraduate day","","","1","2621"
"Spring 2017 - Day","ACC-111-02","ACC-23","Financial Accounting Prncpls", 4.0,"EXAM","HIP 202","05/03/17","05/03/17","W","12:00PM","02:30PM","","FULL","","undergraduate day","","","2","2621"
"Spring 2017 - Day","ACC-301-BLK","ACC-24","Managerial Accounting Prncpls", 4.0,"","","","","","","","Dr. Suzanne B. Summers","FULL","","undergraduate day","ACC-111, ECN-111, 225, MTH-141, or 150","",1
"Spring 2017 - Day","ACC-311-01","ACC-41","Intrmd Financial Accounting I", 4.0,"LEC","HIP 204","01/09/17","04/25/17","MWF","10:30AM","11:20AM","Ms. Sandra G. Roberson","FULL","","undergraduate day","ACC-111","","1","2623"
"Spring 2017 - Day","ACC-311-01","ACC-41","Intrmd Financial Accounting I", 4.0,"EXAM","HIP 204","05/03/17","05/03/17","W","08:30AM","11:00AM","","FULL","","undergraduate day","ACC-111","","2","2623"
"Spring 2017 - Day","ACC-320-01","ACC-43","Cost Accounting", 4.0,"LEC","HIP 202","01/09/17","04/25/17","TR","01:00PM","02:15PM","Bill Merkt",1,"","undergraduate day","ACC-311","","1","2625"
"Spring 2017 - Day","ACC-320-01","ACC-43","Cost Accounting", 4.0,"EXAM","HIP 202","05/02/17","05/02/17","T","12:00PM","02:30PM","",1,"","undergraduate day","ACC-311","","2","2625"
"Spring 2017 - Day","ACC-330-01","ACC-45","Auditing", 4.0,"LEC","HIP 104","01/09/17","04/25/17","MWF","01:30PM","02:20PM","Dr. Marion E. McHugh","FULL","","undergraduate day","ACC-312","","1","2626"
"Spring 2017 - Day","ACC-330-01","ACC-45","Auditing", 4.0,"EXAM","HIP 104","05/01/17","05/01/17","M","12:00PM","02:30PM","","FULL","","undergraduate day","ACC-312","","2","2626"
"Spring 2017 - Day","ACC-370-01","ACC-46","Advanced Financial Accounting", 4.0,"LEC","HIP 204","01/09/17","04/25/17","MWF","12:30PM","01:20PM","Ms. Sandra G. Roberson",3,"","undergraduate day","ACC-312","","1","4805"
"Spring 2017 - Day","ACC-370-01","ACC-46","Advanced Financial Accounting", 4.0,"EXAM","HIP 204","04/28/17","04/28/17","F","12:00PM","02:30PM","",3,"","undergraduate day","ACC-312","","2","4805"
"Spring 2017 - Day","ANT-101-01","ANT-12","Cultural Anthropology", 4.0,"LEC","FUR 127","01/09/17","04/25/17","TR","11:30AM","12:45PM","Dr. Lisa Knight","FULL","HB WC","undergraduate day","","","1","2634"
"Spring 2017 - Day","ANT-101-01","ANT-12","Cultural Anthropology", 4.0,"EXAM","FUR 127","04/27/17","04/27/17","R","12:00PM","02:30PM","","FULL","HB WC","undergraduate day","","","2","2634"
"Spring 2017 - Day","ANT-105-01","ANT-21","World Prehistory", 4.0,"LEC","FUR 107","01/09/17","04/25/17","MWF","09:30AM","10:20AM","Dr. Brian Siegel","FULL","HB WC","undergraduate day","","","1","2635"
"Spring 2017 - Day","ANT-105-01","ANT-21","World Prehistory", 4.0,"EXAM","FUR 107","05/01/17","05/01/17","M","08:30AM","11:00AM","","FULL","HB WC","undergraduate day","","","2","2635"
"Spring 2017 - Day","ANT-205-01","","Japanese Popular Culture", 4.0,"LEC","FUR 109","01/09/17","04/25/17","MWF","11:30AM","12:20PM","Dr. Shusuke Yagi","FULL","VP WC","undergraduate day","","","1","4921"
"Spring 2017 - Day","ANT-205-01","","Japanese Popular Culture", 4.0,"EXAM","FUR 109","05/03/17","05/03/17","W","12:00PM","02:30PM","","FULL","VP WC","undergraduate day","","","2","4921"
"Spring 2017 - Day","ANT-312-01","","Visual Anthropology", 4.0,"LEC","FUR 229","01/09/17","04/25/17","W","02:30PM","05:00PM","Dr. Tami Blumenfield",1,"HB WC","undergraduate day","","","1","5409"
"Spring 2017 - Day","ANT-312-01","","Visual Anthropology", 4.0,"EXAM","FUR 229","04/27/17","04/27/17","R","03:30PM","06:00PM","",1,"HB WC","undergraduate day","","","2","5409"
"Spring 2017 - Day","ANT-360-01","","Psychological Anthropology", 4.0,"LEC","JHN 201","01/09/17","04/25/17","TR","11:30AM","12:45PM","Dr. Shusuke Yagi","FULL","HB WC","undergraduate day","","","1","5585"
"Spring 2017 - Day","ANT-360-01","","Psychological Anthropology", 4.0,"EXAM","JHN 201","04/27/17","04/27/17","R","12:00PM","02:30PM","","FULL","HB WC","undergraduate day","","","2","5585"
"Spring 2017 - Day","ANT-401-01","ANT-35","Anthropological Mthds & Theory", 4.0,"LEC","FUR 110","01/09/17","04/25/17","TR","01:00PM","02:15PM","Dr. Brian Siegel",9,"","undergraduate day","SOC-101 or ANT-101","","1","2644"
"Spring 2017 - Day","ANT-401-01","ANT-35","Anthropological Mthds & Theory", 4.0,"EXAM","FUR 110","05/02/17","05/02/17","T","12:00PM","02:30PM","",9,"","undergraduate day","SOC-101 or ANT-101","","2","2644"
"Spring 2017 - Day","ART-111-01","ART-21","Visual Language I", 4.0,"STU","RAB DSS","01/09/17","04/25/17","MW","09:30AM","11:20AM","Mr. William David R. McClain","FULL","VP","undergraduate day","","","1","2649"
"Spring 2017 - Day","ART-111-01","ART-21","Visual Language I", 4.0,"EXAM","RAB DSS","05/01/17","05/01/17","M","08:30AM","11:00AM","","FULL","VP","undergraduate day","","","2","2649"
"Spring 2017 - Day","ART-112-01","ART-22","Visual Language II", 4.0,"STU","RAB SCS","01/09/17","04/25/17","TR","01:30PM","03:20PM","Mr. Ralph G. Brown, III",1,"VP","undergraduate day","","","1","2650"
"Spring 2017 - Day","ART-112-01","ART-22","Visual Language II", 4.0,"EXAM","RAB SCS","05/02/17","05/02/17","T","12:00PM","02:30PM","",1,"VP","undergraduate day","","","2","2650"
"Spring 2017 - Day","ART-113-01","ART-23","Visual Language III", 4.0,"STU","RAB PTS","01/09/17","04/25/17","MW","09:30AM","11:20AM","Mr. Michael Brodeur","FULL","VP","undergraduate day","","","1","2651"
"Spring 2017 - Day","ART-113-01","ART-23","Visual Language III", 4.0,"EXAM","RAB PTS","05/01/17","05/01/17","M","08:30AM","11:00AM","","FULL","VP","undergraduate day","","","2","2651"
"Spring 2017 - Day","ART-124-01","ART-24","Drawing", 4.0,"STU","RAB ARS","01/09/17","04/25/17","TR","08:30AM","10:20AM","Glen Miller, Jr.","FULL","VP","undergraduate day","","","1","2652"
"Spring 2017 - Day","ART-124-01","ART-24","Drawing", 4.0,"EXAM","RAB ARS","04/27/17","04/27/17","R","08:30AM","11:00AM","","FULL","VP","undergraduate day","","","2","2652"
"Spring 2017 - Day","ART-124-02","ART-24","Drawing", 4.0,"STU","RAB PTS","01/09/17","04/25/17","MW","11:30AM","01:20PM","Mr. Michael Brodeur","FULL","VP","undergraduate day","","","1","2652"
"Spring 2017 - Day","ART-124-02","ART-24","Drawing", 4.0,"EXAM","RAB PTS","05/03/17","05/03/17","W","12:00PM","02:30PM","","FULL","VP","undergraduate day","","","2","2652"
"Spring 2017 - Day","ART-124-03","ART-24","Drawing", 4.0,"STU","RAB PTS","01/09/17","04/25/17","TR","12:30PM","02:20PM","Mr. Michael Brodeur","FULL","VP","undergraduate day","","","1","2652"
"Spring 2017 - Day","ART-124-03","ART-24","Drawing", 4.0,"EXAM","RAB PTS","04/27/17","04/27/17","R","12:00PM","02:30PM","","FULL","VP","undergraduate day","","","2","2652"
"Spring 2017 - Day","ART-130-01","ART-26","History of Western Art I", 4.0,"LEC","RAB LLR","01/09/17","04/25/17","TR","10:00AM","11:15AM","Dr. Carolyn Watson",7,"VP","undergraduate day","","","1","2654"
"Spring 2017 - Day","ART-130-01","ART-26","History of Western Art I", 4.0,"EXAM","RAB LLR","05/02/17","05/02/17","T","08:30AM","11:00AM","",7,"VP","undergraduate day","","","2","2654"
"Spring 2017 - Day","ART-130-02","ART-26","History of Western Art I", 4.0,"LEC","RAB LLR","01/09/17","04/25/17","TR","11:30AM","12:45PM","Dr. Carolyn Watson",1,"VP","undergraduate day","","","1","2654"
